"optionsCatControls"		"Controls"
"optionsNameFlipSustains"	"Flip Sustains"
"optionsDescFlipSustains"	"Horizontally flip sustain notes."
"optionsNameMiddlescroll"	"Center Strumline"
"optionsDescMiddlescroll"	"Place your strumline in the center of the screen and makes the opponent's invisible."
"optionsNameLaneOpacity"	"Lane Opacity"
"optionsDescLaneOpacity"	"Control the opacity of the black background behind each strumline."
"optionsNameLaneWidth"		"Lane Border Width"
"optionsDescLaneWidth"		"Control the width of the borders on the left and right of the lane background."

"optionsSubcatJudgements"		"JUDGEMENTS"
"optionsNameJudgementMV"		"Marvelous"
"optionsDescJudgementMV"		"Amount of time (in milliseconds) you have to get a Marvelous rating."
"optionsNameJudgementSK"		"Sick"
"optionsDescJudgementSK"		"Amount of time (in milliseconds) you have to get a Sick rating."
"optionsNameJudgementGD"		"Good"
"optionsDescJudgementGD"		"Amount of time (in milliseconds) you have to get a Good rating."
"optionsNameJudgementBD"		"Bad"
"optionsDescJudgementBD"		"Amount of time (in milliseconds) you have to get a Bad rating."
"optionsNameJudgementSH"		"Shit"
"optionsDescJudgementSH"		"Amount of time (in milliseconds) you have to get a Shit rating."
"optionsNameJudgementSHCensor"	"!@#$"
"optionsDescJudgementSHCensor"	"Amount of time (in milliseconds) you have to get a !@#$ rating."

"optionsNameFPS"			"Framerate Cap"
"optionsDescFPS"			"The maximum framerate of the game."
"optionsNameDistractions"	"Stage Distractions"
"optionsDescDistractions"	"Toggle stage-specific movement and events that could distract from playing."
"optionsNameInstantRetry"	"Instant Retry"
"optionsDescInstantRetry"	"Skip the game over screen when you die."
"optionsNameBotplay"		"Botplay"
"optionsDescBotplay"		"A bot plays for you."

"optionsCatColors"					"Colors"

"optionsNameHealthBarL"				"Health Bar (Opponent)"
"optionsDescHealthBarL"				"The color of the opponent's side of the health bar."
"optionsNameHealthBarR"				"Health Bar (Player)"
"optionsDescHealthBarR"				"The color of the player's side of the health bar."
"optionsNameProgressBarL"			"Progress Bar (Left)"
"optionsDescProgressBarL"			"The color of the left side of the song progress bar."
"optionsNameProgressBarR"			"Progress Bar (Right)"
"optionsDescProgressBarR"			"The color of the right side of the song progress bar."
"optionsNameJudgementColorMV"		"Marvelous"
"optionsDescJudgementColorMV"		"The color used by the millisecond popup and results screen for the Marvelous rating."
"optionsNameJudgementColorSK"		"Sick"
"optionsDescJudgementColorSK"		"The color used by the millisecond popup and results screen for the Sick rating."
"optionsNameJudgementColorGD"		"Good"
"optionsDescJudgementColorGD"		"The color used by the millisecond popup and results screen for the Good rating."
"optionsNameJudgementColorBD"		"Bad"
"optionsDescJudgementColorBD"		"The color used by the millisecond popup and results screen for the Bad rating."
"optionsNameJudgementColorSH"		"Shit"
"optionsDescJudgementColorSH"		"The color used by the millisecond popup and results screen for the Shit rating."
"optionsNameJudgementColorSHCensor"	"!@#$"
"optionsDescJudgementColorSHCensor"	"The color used by the millisecond popup and results screen for the !@#$ rating."
"optionsNameJudgementColorMS"		"Miss"
"optionsDescJudgementColorMS"		"The color used by the results screen for misses."

"optionsCatMisc"			"Misc"

"optionsNameNaughtiness"	"Naughtiness"
"optionsDescNaughtiness"	"When disabled, censors some gore and profanity in the game."
"optionsNameAutoPause"		"Freeze on Lost Focus"
"optionsDescAutoPause"		"Whether the game window should freeze when it's not the active window. Disabling will cause the pause screen to appear when focus is lost."
"optionsNameAutoMute"		"Mute on Lost Focus"
"optionsDescAutoMute"		"Whether the game's audio should mute when the game window isn't active. This has no effect if Freeze on Lost Focus is checked."
"optionsNameCompactJsons"	"Compact JSONs"
"optionsDescCompactJsons"	"Truncates JSONs to their bare minimum filesize at the cost of human readability. Does not affect charts, which will always be compact."
"optionsNameAutosaveSecs"	"Autosave Frequency (in seconds)"
"optionsDescAutosaveSecs"	"Amount of seconds in between the chart editor autosaving the current chart. Set to 0 to disable autosaving."
"optionsNameChartInfo"		"Chart Info"
"optionsDescChartInfo"		"Show extra information about the current chart in Freeplay."
